date month year variable value units
3/1/2016 3 1916 TLG 0.403 MAF
4/1/2016 4 1916 TLG 0.431 MAF
5/1/2016 5 1916 TLG 0.491 MAF
6/1/2016 6 1916 TLG 0.505 MAF
7/1/2016 7 1916 TLG 0.196 MAF
8/1/2016 8 1916 TLG 0.0344 MAF
9/1/2016 9 1916 TLG 0.0142 MAF
10/1/2016 10 1916 TLG 0.0713 MAF
11/1/2016 11 1916 TLG 0.0359 MAF
12/1/2016 12 1916 TLG 0.0664 MAF
1/1/2017 1 1917 TLG 0.0539 MAF
2/1/2017 2 1917 TLG 0.224 MAF
3/1/2017 3 1917 TLG 0.141 MAF
4/1/2017 4 1917 TLG 0.281 MAF
5/1/2017 5 1917 TLG 0.437 MAF
6/1/2017 6 1917 TLG 0.678 MAF
7/1/2017 7 1917 TLG 0.199 MAF
8/1/2017 8 1917 TLG 0.0266 MAF
9/1/2017 9 1917 TLG 0.00893 MAF
10/1/2017 10 1917 TLG 0.00447 MAF
11/1/2017 11 1917 TLG 0.00591 MAF
12/1/2017 12 1917 TLG 0.0111 MAF
1/1/2018 1 1918 TLG 0.0122 MAF
2/1/2018 2 1918 TLG 0.05457 MAF
3/1/2018 3 1918 TLG 0.26702 MAF
4/1/2018 4 1918 TLG 0.28039 MAF
5/1/2018 5 1918 TLG 0.34728 MAF
6/1/2018 6 1918 TLG 0.41532 MAF
7/1/2018 7 1918 TLG 0.0422 MAF
8/1/2018 8 1918 TLG 0.00802 MAF
9/1/2018 9 1918 TLG 0.01311 MAF
10/1/2018 10 1918 TLG 0.05223 MAF
11/1/2018 11 1918 TLG 0.03417 MAF
12/1/2018 12 1918 TLG 0.03271 MAF
1/1/2019 1 1919 TLG 0.02043 MAF
2/1/2019 2 1919 TLG 0.07799 MAF
3/1/2019 3 1919 TLG 0.11789 MAF
4/1/2019 4 1919 TLG 0.26861 MAF
5/1/2019 5 1919 TLG 0.56319 MAF
6/1/2019 6 1919 TLG 0.14395 MAF
7/1/2019 7 1919 TLG 0.02495 MAF
8/1/2019 8 1919 TLG 0.0071 MAF
9/1/2019 9 1919 TLG 0.00396 MAF
10/1/2019 10 1919 TLG 0.00586 MAF
11/1/2019 11 1919 TLG 0.00419 MAF
12/1/2019 12 1919 TLG 0.02473 MAF
1/1/2020 1 1920 TLG 0.02479 MAF
2/1/2020 2 1920 TLG 0.02903 MAF
3/1/2020 3 1920 TLG 0.16164 MAF
4/1/2020 4 1920 TLG 0.23104 MAF
5/1/2020 5 1920 TLG 0.47857 MAF
6/1/2020 6 1920 TLG 0.31507 MAF
7/1/2020 7 1920 TLG 0.04831 MAF
